timeMsg,FromUserId,FromNickName,MsgType,Content,MsgRandom
2021-02-02 20:22:47,396919808,我要把152按着锤,TextMsg,搞什么脱发,457471983
﻿2021-02-02 20:23:21,396919808,我要把152按着锤,PicMsg,"{""GroupPic"":[{""FileId"":2411652034,""FileMd5"":""eCYJwI5RjkzZ2ovqPXmQEA=="",""FileSize"":22075,""ForwordBuf"":""Eip7NzgyNjA5QzAtOEU1MS04RTRDLUQ5REEtOEJFQTNENzk5MDEwfS5qcGciACoEAwAAADJgFTYgOTZrRTFBOGZiZWUzYzIzODg4ZmEzYSAgICAgIDUwICAgICAgICAgICAgICAgIHs3ODI2MDlDMC04RTUxLThFNEMtRDlEQS04QkVBM0Q3OTkwMTB9LmpwZzEyMTJBOMLH+/0IQLr0o8QDSFBQQVoAYAFqEHgmCcCOUY5M2dqL6j15kBByWy9nY2hhdHBpY19uZXcvMzk2OTE5ODA4LzEwMjg4NzE4MjUtMjQxMTY1MjAzNC03ODI2MDlDMDhFNTE4RTRDRDlEQThCRUEzRDc5OTAxMC8xOTg/dGVybT0yNTWCAVkvZ2NoYXRwaWNfbmV3LzM5NjkxOTgwOC8xMDI4ODcxODI1LTI0MTE2NTIwMzQtNzgyNjA5QzA4RTUxOEU0Q0Q5REE4QkVBM0Q3OTkwMTAvMD90ZXJtPTI1NaAB6AewAdYDuAGTBMgBu6wB2AGvAeABxgH6AVsvZ2NoYXRwaWNfbmV3LzM5NjkxOTgwOC8xMDI4ODcxODI1LTI0MTE2NTIwMzQtNzgyNjA5QzA4RTUxOEU0Q0Q5REE4QkVBM0Q3OTkwMTAvNDAwP3Rlcm09MjU1gALTAogCgAOSAgQIAUoA"",""ForwordField"":8,""Url"":""http://gchat.qpic.cn/gchatpic_new/396919808/1028871825-2534335053-782609C08E518E4CD9DA8BEA3D799010/0?vuin=2593923636\u0026term=255\u0026pictype=0""}],""Tips"":""[群图片]""}",1691828655
﻿2021-02-02 20:28:17,2445009027,周海晴,PicMsg,"{""GroupPic"":[{""FileId"":3144339731,""FileMd5"":""Iqqxa96cVMkVzlhSe4oRUg=="",""FileSize"":6870,""ForwordBuf"":""Eip7MjJBQUIxNkItREU5Qy01NEM5LTE1Q0UtNTg1MjdCOEExMTUyfS5qcGciACoEAwAAADJgFTYgOTZrRTFBYmI2YWQxMTNiY2ViMDNiNyAgICAgIDUwICAgICAgICAgICAgICAgIHsyMkFBQjE2Qi1ERTlDLTU0QzktMTVDRS01ODUyN0I4QTExNTJ9LmpwZzEyMTJBOJOiq9sLQLeHrOcLSFBQQVoAYAFqECKqsWvenFTJFc5YUnuKEVJyXC9nY2hhdHBpY19uZXcvMjQ0NTAwOTAyNy8xMDI4ODcxODI1LTMxNDQzMzk3MzEtMjJBQUIxNkJERTlDNTRDOTE1Q0U1ODUyN0I4QTExNTIvMTk4P3Rlcm09MjU1ggFaL2djaGF0cGljX25ldy8yNDQ1MDA5MDI3LzEwMjg4NzE4MjUtMzE0NDMzOTczMS0yMkFBQjE2QkRFOUM1NEM5MTVDRTU4NTI3QjhBMTE1Mi8wP3Rlcm09MjU1oAHoB7ABoAG4AaAByAHWNdgBoAHgAaAB+gFcL2djaGF0cGljX25ldy8yNDQ1MDA5MDI3LzEwMjg4NzE4MjUtMzE0NDMzOTczMS0yMkFBQjE2QkRFOUM1NEM5MTVDRTU4NTI3QjhBMTE1Mi80MDA/dGVybT0yNTWAAqABiAKgAZICBAgBSgA="",""ForwordField"":8,""Url"":""http://gchat.qpic.cn/gchatpic_new/2445009027/1028871825-2534335053-22AAB16BDE9C54C915CE58527B8A1152/0?vuin=2593923636\u0026term=255\u0026pictype=0""}],""Tips"":""[群图片]""}",566685073
﻿2021-02-02 20:28:34,3397280236,第一排第二个,PicMsg,"{""GroupPic"":[{""FileId"":2647122358,""FileMd5"":""qSgvOSsS6n/qtEhmYL1TlQ=="",""FileSize"":1263,""ForwordBuf"":""EiRBOTI4MkYzOTJCMTJFQTdGRUFCNDQ4NjY2MEJENTM5NS5qcGcyVhU2IDg2ZUExQjlkYzdlMWI2YjcwM2UxM2EgICAgICA1MGh3Y1h1Zm1xd3RHeEhYbjdBOTI4MkYzOTJCMTJFQTdGRUFCNDQ4NjY2MEJENTM5NS5qcGdBOLbDn+4JQLrCj7gLSFBQQloQaHdjWHVmbXF3dEd4SFhuN2ABahCpKC85KxLqf+q0SGZgvVOVclwvZ2NoYXRwaWNfbmV3LzMzOTcyODAyMzYvMTAyODg3MTgyNS0yNjQ3MTIyMzU4LUE5MjgyRjM5MkIxMkVBN0ZFQUI0NDg2NjYwQkQ1Mzk1LzE5OD90ZXJtPTI1NYIBWi9nY2hhdHBpY19uZXcvMzM5NzI4MDIzNi8xMDI4ODcxODI1LTI2NDcxMjIzNTgtQTkyODJGMzkyQjEyRUE3RkVBQjQ0ODY2NjBCRDUzOTUvMD90ZXJtPTI1NaAB6AewAUa4ATjAAWfIAe8J0AEA2AFG4AE46AEA8AEA+gFcL2djaGF0cGljX25ldy8zMzk3MjgwMjM2LzEwMjg4NzE4MjUtMjY0NzEyMjM1OC1BOTI4MkYzOTJCMTJFQTdGRUFCNDQ4NjY2MEJENTM5NS80MDA/dGVybT0yNTWAAkaIAjiSAhoIARAAMgBKDlvliqjnlLvooajmg4VdUAB4Bg=="",""ForwordField"":8,""Url"":""http://gchat.qpic.cn/gchatpic_new/3397280236/1028871825-2534335053-A9282F392B12EA7FEAB4486660BD5395/0?vuin=2593923636\u0026term=255\u0026pictype=0""}],""Tips"":""[群图片]""}",1799798556
﻿2021-02-02 20:29:30,396919808,我要把152按着锤,TextMsg,物理18题那个表格怎么填,2987943963
﻿2021-02-02 20:30:06,2359651993,本群第一美少女,TextMsg,找小袁帮忙,1487565366
﻿2021-02-02 20:30:15,396919808,我要把152按着锤,AtMsg,"{""Content"":""@Jj @Jj 感觉好像是小偷"",""MsgSeq"":23896,""ReplayContent"":""@Jj "",""SrcContent"":""[图片]"",""Tips"":""[回复]"",""UserID"":[2906075894,2906075894]}",2150051523
﻿2021-02-02 20:30:24,396919808,我要把152按着锤,TextMsg,[表情178],2162619931
﻿2021-02-02 20:30:45,396919808,我要把152按着锤,TextMsg,正在偷微波炉,943325024
﻿2021-02-02 20:31:48,2359651993,本群第一美少女,TextMsg,笑了,1387601156
